name,auth,translator,publisher,date,price,rating,hot,url
Python编程,[美] 埃里克·马瑟斯 , 袁国忠 , 人民邮电出版社 , 2016-7-1 , 89.00元,9.1,3199,https://book.douban.com/subject/26829016/
黑客与画家,[美] Paul Graham , 阮一峰 , 人民邮电出版社 , 2011-4 , 49.00元,8.7,18715,https://book.douban.com/subject/6021440/
计算机程序的构造和解释(原书第2版),Harold Abelson、Gerald Jay Sussman、Julie Sussman , 裘宗燕 , 机械工业出版社 , 2004-2 , 45.00元,9.5,2370,https://book.douban.com/subject/1148282/
代码大全（第2版）,[美] 史蒂夫·迈克康奈尔 , 金戈、汤凌、陈硕、张菲 译、裘宗燕 审校 , 电子工业出版社 , 2006-3 , 128.00元,9.3,3863,https://book.douban.com/subject/1477390/
编码,[美] Charles Petzold , 左飞、薛佟佟 , 电子工业出版社 , 2010 , 55.00元,9.2,3326,https://book.douban.com/subject/4822685/
Python编程快速上手,Al Sweigart , 王海鹏 ,异步图书 , 2016-7-1 , 69.00元,9.0,756,https://book.douban.com/subject/26836700/
程序员修炼之道(第2版),David Thomas、Andrew Hunt , 云风 , 电子工业出版社 , 2020-4-1 , 89.00元,9.2,157,https://book.douban.com/subject/35006892/
算法图解,[美] Aditya Bhargava , 袁国忠 , 人民邮电出版社 , 2017-3 , 49.00元,8.4,1845,https://book.douban.com/subject/26979890/
数据密集型应用系统设计,Martin Kleppmann , 赵军平、李三平、吕云松、耿煜 , 中国电力出版社 , 2018-9-1 , 128,9.7,482,https://book.douban.com/subject/30329536/
C程序设计语言,（美）Brian W. Kernighan、（美）Dennis M. Ritchie , 徐宝文、李志译、尤晋元审校 , 机械工业出版社 , 2004-1 , 30.00元,9.4,4579,https://book.douban.com/subject/1139336/
代码整洁之道,[美]Robert C. Martin , 韩磊 , 人民邮电出版社 , 2010-1-1 , 59.00元,8.6,1717,https://book.douban.com/subject/4199741/
Python深度学习,[美] 弗朗索瓦•肖莱 , 张亮 , 人民邮电出版社 , 2018-8 , 119.00元,9.6,627,https://book.douban.com/subject/30293801/
Java编程思想 （第4版）,[美] Bruce Eckel , 陈昊鹏 , 机械工业出版社 , 2007-6 , 108.00元,9.1,3837,https://book.douban.com/subject/2130190/
流畅的Python,[巴西] Luciano Ramalho , 安道、吴珂 , 人民邮电出版社 , 2017-5-15 , 139元,9.4,736,https://book.douban.com/subject/27028517/
深入理解计算机系统（原书第3版）,Randal E.Bryant、David O'Hallaron , 龚奕利、贺莲 , 机械工业出版社 , 2016-11 , 139.00元,9.8,1096,https://book.douban.com/subject/26912767/
算法导论（原书第2版）,[美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein , 潘金贵 等 , 机械工业出版社 , 2006-9 , 85.00元,9.3,5006,https://book.douban.com/subject/1885170/
深入理解计算机系统（原书第2版）,（美）Randal E.Bryant、David O'Hallaron , 龚奕利、雷迎春 , 机械工业出版社 , 2011-1-1 , 99.00元,9.7,2579,https://book.douban.com/subject/5333562/
C Primer Plus（第6版）中文版,普拉达 (Stephen Prata) , 姜佑 , 人民邮电出版社 , 2016-4-1 , CNY 89.00,9.4,762,https://book.douban.com/subject/26792521/
C++ Primer 中文版（第 5 版）,[美] Stanley B. Lippman、[美] Josée Lajoie、[美] Barbara E. Moo , 王刚、杨巨峰 , 电子工业出版社 , 2013-9-1 , CNY 128.00,9.4,1785,https://book.douban.com/subject/25708312/
打火机与公主裙·荒草园,Twentine , 青岛出版社 , 青岛出版社 , 2017-3 , 36.00元,8.3,7584,https://book.douban.com/subject/26978506/
JavaScript高级程序设计（第3版）,[美] Nicholas C. Zakas , 李松峰、曹力 , 人民邮电出版社 , 2012-3-29 , 99.00元,9.3,2391,https://book.douban.com/subject/10546125/
程序员修炼之道,Andrew Hunt、David Thomas , 马维达 , 电子工业出版社 , 2005-1 , 48.00元,8.6,2304,https://book.douban.com/subject/1152111/
算法（第4版）,塞奇威克 (Robert Sedgewick)、韦恩 (Kevin Wayne) , 谢路云 , 人民邮电出版社 , 2012-10-1 , 99.00元,9.4,1272,https://book.douban.com/subject/19952400/
Head First 设计模式（中文版）,弗里曼 , O'Reilly Taiwan公司 , 中国电力出版社 , 2007-9 , 98.00元,9.2,3129,https://book.douban.com/subject/2243615/
设计模式,[美] Erich Gamma、Richard Helm、Ralph Johnson、John Vlissides , 李英军、马晓星、蔡敏、刘建中 等 , 机械工业出版社 , 2000-9 , 35.00元,9.1,2923,https://book.douban.com/subject/1052241/
编程之美,《编程之美》小组 编 , 电子工业出版社 , 电子工业出版社 , 2008-3 , 40.00元,8.4,3190,https://book.douban.com/subject/3004255/
Linux/UNIX系统编程手册,Michael Kerrisk , 孙剑 许从年 董健、孙余强 郭光伟 陈舸 , 人民邮电出版社 , 2014-1 , 158,9.4,256,https://book.douban.com/subject/25809330/
人月神话,[美] 弗雷德里克·布鲁克斯 , 汪颖 , 清华大学出版社 , 2002-11 , 29.80元,8.4,3279,https://book.douban.com/subject/1102259/
利用Python进行数据分析,Wes McKinney , 唐学韬 , 机械工业出版社 , 2013-11-18 , 89.00,8.6,1319,https://book.douban.com/subject/25779298/
程序员的自我修养,俞甲子、石凡、潘爱民 , 电子工业出版社 , 电子工业出版社 , 2009-4 , 65.00,8.8,2393,https://book.douban.com/subject/3652388/
编程珠玑,Jon Bentley , 黄倩、钱丽艳 , 人民邮电出版社 , 2008-10 , 39.00元,9.1,2095,https://book.douban.com/subject/3227098/
重构,Martin Fowler , 熊节 , 人民邮电出版社 , 2010 , 69.00元,9.0,1888,https://book.douban.com/subject/4262627/
具体数学,Ronald L.Graham、Oren Patashnik、Donald E.Knuth , 张凡、张明尧 , 人民邮电出版社 , 2013-4-1 , 99.00元,9.6,324,https://book.douban.com/subject/21323941/
C专家编程,Peter Van Der Linden , 徐波 , 人民邮电出版社 , 2008-2 , 45.00元,9.2,1973,https://book.douban.com/subject/2377310/
自学是门手艺,李笑来 , 电子工业出版社 , 电子工业出版社 , 2019-6 , 99元,8.8,216,https://book.douban.com/subject/34432673/
算法（英文版·第4版）,Robert Sedgewick、Kevin Wayne , 人民邮电出版社 , 人民邮电出版社 , 2012-3-5 , 99.00元,9.3,739,https://book.douban.com/subject/10432347/
父与子的编程之旅,桑德 (Warren Sande)、桑德 (Carter Sande) , 苏金国、易郑超 , 人民邮电出版社 , 2014-10-1 , CNY 69.00,8.5,250,https://book.douban.com/subject/26005639/
编写可读代码的艺术,"Boswell, D.、Foucher, T. ", 尹哲、郑秀雯 , 机械工业出版社 , 2012-7-10 , 59.00元,8.7,918,https://book.douban.com/subject/10797189/
笨办法学Python 3,[美]泽德 A. 肖 , 王巍巍 , 人民邮电出版社 , 2018-6-1 , CNY 59.00,8.3,157,https://book.douban.com/subject/30237842/
深入理解计算机系统,Randal E.Bryant、David O'Hallaron , 龚奕利、雷迎春 , 中国电力出版社 , 2004-5-1 , 85.00元,9.5,2768,https://book.douban.com/subject/1230413/
Python数据科学手册,Jake VanderPlas , 陶俊杰、陈小莉 , 人民邮电出版社 , 2018-1-20 , 109.00元,9.3,216,https://book.douban.com/subject/27667378/
Head First Java（第二版·中文版）,"Kathy Sierra,Bert Bates 著、杨尊一 编译 张然等 改编 ", 杨尊一 , 中国电力出版社 , 2007-2 , 79.00元,8.7,1266,https://book.douban.com/subject/2000732/
动手学深度学习,阿斯顿·张（Aston Zhang）、李沐（Mu Li）、[美] 扎卡里·C. 立顿（Zachary C. Lipton）、[德] 亚历山大·J. 斯莫拉（Alexander J. Smola） , 人民邮电出版社 , 人民邮电出版社 , 2019-6 , 85.00元,9.5,182,https://book.douban.com/subject/33450010/
重构（第2版）全彩精装版,Martin Fowler , 熊节、林从羽 , 人民邮电出版社 , 2019-3 , 168,9.5,142,https://book.douban.com/subject/30468597/
Head First HTML与CSS（第2版）,Elisabeth Robson、Eric Freeman , 徐阳、丁小峰 , 中国电力出版社 , 2013-9 , 98.00元,9.3,894,https://book.douban.com/subject/25752357/
编码的奥秘,Charles Petzold , 伍卫国, 机械工业出版社 , 2000-9-1 , 24.00,9.3,1386,https://book.douban.com/subject/1024570/
数据结构与算法分析,维斯 , 冯舜玺 , 机械工业出版社 , 2004-1-1 , 35.00元,8.9,1934,https://book.douban.com/subject/1139426/
编译原理,Alfred V. Aho、Monica S.Lam、Ravi Sethi、Jeffrey D. Ullman , 赵建华、郑滔、戴新宇 , 机械工业出版社 , 2008年12月 , 89.00元,9.1,931,https://book.douban.com/subject/3296317/
Spring实战（第4版）,Craig Walls 沃尔斯 , 张卫滨 , 人民邮电出版社 , 2016-4-1 , CNY 89.00,8.2,576,https://book.douban.com/subject/26767354/
Redis设计与实现,黄健宏 , 机械工业出版社 , 机械工业出版社 , 2014-6 , 79.00,8.5,1007,https://book.douban.com/subject/25900156/
