name,auth,translator,publisher,date,price,rating,hot,url
坏小孩,紫金陈 , 湖南文艺出版社 , 湖南文艺出版社 , 2018-7-1 , 54.00元,7.4,52309,https://book.douban.com/subject/25955474/
活着,余华 , 作家出版社 , 作家出版社 , 2012-8-1 , 20.00元,9.4,508178,https://book.douban.com/subject/4913064/
白夜行,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 2013-1-1 , 39.50元,9.1,280494,https://book.douban.com/subject/10554308/
房思琪的初恋乐园,林奕含 , 北京联合出版公司 , 北京联合出版公司 , 2018-1 , 45.00元,9.2,197774,https://book.douban.com/subject/27614904/
小王子,[法] 圣埃克苏佩里 , 马振聘 , 人民文学出版社 , 2003-8 , 22.00元,9.0,583683,https://book.douban.com/subject/1084336/
解忧杂货店,[日] 东野圭吾 , 李盈春 , 南海出版公司 , 2014-5 , 39.50元,8.5,647380,https://book.douban.com/subject/25862578/
追风筝的人,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 2006-5 , 29.00元,8.9,653874,https://book.douban.com/subject/1770782/
红楼梦,[清] 曹雪芹 著、高鹗 续 , 人民文学出版社 , 人民文学出版社 , 1996-12 , 59.70元,9.6,295538,https://book.douban.com/subject/1007305/
百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司 , 2011-6 , 39.50元,9.2,298912,https://book.douban.com/subject/6082808/
围城,钱锺书 , 人民文学出版社 , 人民文学出版社 , 1991-2 , 19.00,8.9,376184,https://book.douban.com/subject/1008145/
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 , 南海出版公司 , 2012-9-1 , 39.50元,9.0,187235,https://book.douban.com/subject/10594787/
嫌疑人X的献身,[日] 东野圭吾 , 刘子倩 , 南海出版公司 , 2008-9 , 28.00,8.9,416918,https://book.douban.com/subject/3211779/
平凡的世界（全三部）,路遥 , 人民文学出版社 , 人民文学出版社 , 2005-1 , 64.00元,9.0,254538,https://book.douban.com/subject/1200840/
长夜难明,紫金陈 , 云南人民出版社 , 云南人民出版社 , 2017-1 , 42.00元,8.5,37363,https://book.douban.com/subject/26923390/
月亮与六便士,[英] 威廉·萨默塞特·毛姆 , 徐淳刚 , 浙江文艺出版社 , 2017-1-1 , 39.80元,8.8,151834,https://book.douban.com/subject/26954760/
三体,刘慈欣 , 重庆出版社 , 重庆出版社 , 2008-1 , 23.00,8.8,378152,https://book.douban.com/subject/2567698/
1984,[英] 乔治·奥威尔 , 刘绍铭 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.3,151018,https://book.douban.com/subject/4820710/
烧纸,[韩] 李沧东 , 金冉 , 武汉大学出版社 , 2020-5 , 58.00,8.8,2030,https://book.douban.com/subject/30441551/
局外人,[法] 阿尔贝·加缪 , 柳鸣九 , 上海译文出版社 , 2010-8 , 22.00元,9.0,132515,https://book.douban.com/subject/4908885/
杀死一只知更鸟,[美] 哈珀·李 , 高红梅 , 译林出版社 , 2012-9 , 32.00元,9.2,79399,https://book.douban.com/subject/6781808/
人生海海,麦家 , 北京十月文艺出版社 , 北京十月文艺出版社 , 2019-4 , 55.00元,8.1,33430,https://book.douban.com/subject/30475767/
骆驼祥子,老舍 , 人民文学出版社 , 人民文学出版社 , 2000-3-1 , 12.00,8.4,153960,https://book.douban.com/subject/1043815/
月亮和六便士,[英] 毛姆 , 傅惟慈 , 上海译文出版社 , 2006-8 , 15.00元,9.0,138618,https://book.douban.com/subject/1858513/
云边有个小卖部,张嘉佳 , 湖南文艺出版社 , 湖南文艺出版社 , 2018-7 , 42.00元,7.7,28586,https://book.douban.com/subject/30254298/
三体全集,刘慈欣 , 重庆出版社 , 重庆出版社 , 2012-1-1 , 168.00元,9.4,52924,https://book.douban.com/subject/6518605/
飘,[美国] 玛格丽特·米切尔 , 李美华 , 译林出版社 , 2000-9 , 40.00元,9.3,160438,https://book.douban.com/subject/1068920/
傲慢与偏见,[英] 奥斯丁 , 张玲、张扬 , 人民文学出版社 , 1993-7 , 13.00元,8.9,188658,https://book.douban.com/subject/1083428/
白鹿原,陈忠实 , 人民文学出版社 , 人民文学出版社 , 2012-9 , 39.00元,9.2,47215,https://book.douban.com/subject/10564071/
边城,沈从文、黄永玉 卓雅 插图. , 北岳文艺出版社 , 北岳文艺出版社 , 2002-4 , 12.00元,8.7,180919,https://book.douban.com/subject/1057244/
82年生的金智英,[韩]赵南柱 , 尹嘉玄 , 贵州人民出版社 , 2019-9 , 45.00元,7.9,52260,https://book.douban.com/subject/34434309/
明朝那些事儿（1-9）,当年明月 , 中国海关出版社 , 中国海关出版社 , 2009-4 , 358.20元,9.1,90471,https://book.douban.com/subject/3674537/
白夜行,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 2008-9 , 29.80元,9.1,462376,https://book.douban.com/subject/3259440/
三国演义（全二册）,[明] 罗贯中 , 人民文学出版社 , 人民文学出版社 , 1998-05 , 39.50元,9.3,123819,https://book.douban.com/subject/1019568/
平凡的世界,路遥 ," 北京出版集团公司,北京十月文艺出版社 "," 北京出版集团公司,北京十月文艺出版社 ", 2012-3-1 , CNY 79.80,9.0,43355,https://book.douban.com/subject/10517238/
生吞,郑执 , 浙江文艺出版社 , 浙江文艺出版社 , 2017-11-1 , 39.00,8.1,17398,https://book.douban.com/subject/27170951/
挪威的森林,[日] 村上春树 , 林少华 , 上海译文出版社 , 2007-7 , 23.00元,8.5,103384,https://book.douban.com/subject/2159042/
人间失格,太宰治 , 许时嘉 , 吉林出版集团有限责任公司 , 2009-9 , 16.00元,8.3,190975,https://book.douban.com/subject/4011670/
许三观卖血记,余华 , 南海出版公司 , 南海出版公司 , 1998-9 , 16.80元,8.8,193493,https://book.douban.com/subject/1029791/
围城,钱钟书 , 人民文学出版社 , 人民文学出版社 , 1991-2-1 , 39.00元,9.3,53297,https://book.douban.com/subject/11524204/
七个疯子,[阿根廷] 罗伯特·阿尔特 , 欧阳石晓 , 四川文艺出版社 , 2020-4 , 59.80,8.5,1174,https://book.douban.com/subject/34912805/
动物农场,[英] 乔治·奥威尔 , 荣如德 , 上海译文出版社 , 2007-3 , 10.00元,9.2,93159,https://book.douban.com/subject/2035179/
许三观卖血记,余华 , 作家出版社 , 作家出版社 , 2012-9 , 24.00元,9.0,48492,https://book.douban.com/subject/4760224/
八百万种死法,[美] 劳伦斯·布洛克 , 姚向辉 , 江苏凤凰文艺出版社 , 2020-4 , 49.90元,7.9,1780,https://book.douban.com/subject/34995610/
恶意,[日] 东野圭吾 , 娄美莲 , 南海出版公司 , 2009-6 , 18.00,8.4,197504,https://book.douban.com/subject/3646172/
城南旧事,林海音 文、关维兴 图 , 中国青年出版社 , 中国青年出版社 , 2003-7 , 16.00元,9.0,102536,https://book.douban.com/subject/1254588/
银河系边缘的小失常,[以色列] 埃特加·凯雷特 , 方铁 , 浦睿文化·湖南文艺出版社 , 2020-5 , 49.00元,8.3,1893,https://book.douban.com/subject/35005062/
鞋带,[意] 多梅尼科·斯塔尔诺内 , 陈英 , 上海译文出版社 , 2020-5 , 45,8.1,2692,https://book.douban.com/subject/34970385/
老人与海,海明威 , 吴劳 , 上海译文出版社 , 1999-10 , 8.20元,8.4,157209,https://book.douban.com/subject/1064275/
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略 , 丁文林 , 南海出版公司 , 2009-3-1 , 25.00元,8.5,121716,https://book.douban.com/subject/3608208/
默读,Priest , 百花洲文艺出版社 , 百花洲文艺出版社 , 2018-1 , 45.00,8.4,32011,https://book.douban.com/subject/27608412/
三体Ⅱ,刘慈欣 , 重庆出版社 , 重庆出版社 , 2008-5 , 32.00,9.3,224194,https://book.douban.com/subject/3066477/
无证之罪,紫金陈 , 浦睿文化·湖南人民出版社 , 浦睿文化·湖南人民出版社 , 2018-6 , 49.00元,7.2,14848,https://book.douban.com/subject/25799686/
无声告白,[美] 伍绮诗 , 孙璐 , 江苏凤凰文艺出版社 , 2015-7 , 35.00元,8.2,116871,https://book.douban.com/subject/26382433/
基督山伯爵,大仲马 , 周克希、韩沪麟 , 上海译文出版社 , 1991-12-1 , 43.90元,9.0,101794,https://book.douban.com/subject/1085860/
岛上书店,[美] 加布瑞埃拉·泽文 , 孙仲旭、李玉瑶 , 江苏凤凰文艺出版社 , 2015-5-1 , CNY 35.00,7.6,121557,https://book.douban.com/subject/26340138/
简爱（英文全本）,[英] 夏洛蒂·勃朗特 , 世界图书出版公司 , 世界图书出版公司 , 2003-11 , 18.00元,8.5,187949,https://book.douban.com/subject/1141406/
三体Ⅲ,刘慈欣 , 重庆出版社 , 重庆出版社 , 2010-11 , 38.00元,9.2,216448,https://book.douban.com/subject/5363767/
鼠疫,(法)阿尔贝·加缪 , 刘方 , 上海译文出版社 , 2013-8 , 34.00元,9.1,23635,https://book.douban.com/subject/24257229/
呼吸,[美] 特德·姜 , 耿辉、Ent、李克勤、姚向辉 , 译林出版社 , 2019-12 , 42,8.6,14863,https://book.douban.com/subject/34672176/
窗边的小豆豆,[日] 黑柳彻子 著、岩崎千弘 图 , 赵玉皎 , 南海出版公司 , 2003-1 , 20.00元,8.7,160720,https://book.douban.com/subject/1007914/
遥远的救世主,豆豆 , 作家出版社 , 作家出版社 , 2005-05-01 , 28.00,8.7,14476,https://book.douban.com/subject/1322455/
一个陌生女人的来信,[奥] 斯台芬·茨威格 , 张玉书 , 上海译文出版社 , 2007-7 , 20.00元,8.7,108365,https://book.douban.com/subject/2154960/
我的天才女友,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-1 , 42.00元,8.5,59355,https://book.douban.com/subject/26878124/
肖申克的救赎,[美] 斯蒂芬·金 , 施寄青、赵永芬、齐若兰 , 人民文学出版社 , 2006-7 , 29.90元,9.1,86641,https://book.douban.com/subject/1829226/
聋哑时代,双雪涛 , 广西师范大学出版社 , 广西师范大学出版社 , 2020-4 , 54.00,8.6,1050,https://book.douban.com/subject/34969942/
刀锋,[英]毛姆 , 周煦良 , 上海译文出版社 , 2007-3 , 18.00元,9.0,55807,https://book.douban.com/subject/2035162/
黄金时代,王小波 , 花城出版社 , 花城出版社 , 1999-3 , 19.00元,8.9,125416,https://book.douban.com/subject/1089243/
呐喊,鲁迅 , 人民文学出版社 , 人民文学出版社 , 1973年3月 , 0.36元,8.9,91674,https://book.douban.com/subject/1449351/
